id;név;nemzetiség;születési hely;születési idő
2129;Oscar Revuelto Sánchez-Aguilera;ESP;Zaragoza;1974-02-09
2130;José María Alarcón Mestres;ESP;Barcelona;
2131;Pedro Javier Escobedo Villagrasa;ESP;Zaragoza;1976-02-20
2132;Iván Pardo Lázaro;ESP;Sta-Coloma Gramanet (Barna);1972-04-02
2133;Joseph Paul Price;FRA;Marion, Indiana;
2134;Gustavo De Teresa Romero;ESP;Valladolid;1972-05-22
2135;Iker Ibarrola Idcate;ESP;Pamplona;1976-07-14
2136;Ahmadou Louis Karim Keita;FRA;Bamako (Mali);1970-11-02
2137;John Anthony Blake;USA;Massachussets;1971-06-18
2138;Ulises Deniz Saavedra;ESP;Las Palmas de Gran Canaria;1977-01-17
2139;Jordi Grau Soler;ESP;Barcelona;
2140;José Luis Llorente Gento;ESP;Valladolid;
2141;Christopher Donnell King;USA;Newton Grove, North Carolina;
2142;Alexey Martins Rodrigues de Carvalho;PRT;Rio de Janeiro;
2143;Joaquín Costa Puig;ESP;Badalona (Barcelona);
2144;Luis Rosa Junquera;ESP;Barcelona;1974-04-12
2145;Alvaro Batista Ramos;ESP;Santa Cruz de Tenerife;1975-03-18
2146;Craig Stewart Newman;GBR;Red Deer;1976-03-09
2147;Clifford Glen Rozier II;USA;Bradenton, Florida;1972-10-31
2148;Raimundo Barneda Domingo;ESP;Vilanova i la Geltrú (Barna);
2149;Johneirio Terrell Bell;USA;Athens, Georgia;1973-12-15
2150;Anthony Todd Farmer;USA;Lakewood, California;1970-01-03
2151;Alessandro Angeli;ITA;Rimini;
2152;Jesús Alberto Sanz Mata;ESP;Madrid;
2153;Thimothy Burroughs;USA;Hopkins, South Carolina;
2154;Ronald Lewis Rowan;IRL;New Brighton, Pennsylvania;
2155;Larry Robinson;USA;Bossier City, Louisiana;
2156;Robert Alan Lock;USA;Reedley, California;
2157;Ricardo Aldrey Rey;ESP;Santiago Compostela (CoruNa);
2158;Carlos Francisco Ruf Osola;ESP;Hamina;
2159;Albert Brea Corredor;ESP;Girona;1974-03-13
2160;Alexis Lombilla González;ESP;Las Palmas de Gran Canaria;1975-04-15
2161;Juan Eduardo Pinero Vazquez;ESP;Barcelona;
2162;José Posada Totorika;ESP;Ermua (Vizcaya);1970-02-18
2163;Howard Gregory Wright;USA;San Diego, California;
2164;Jonathan Corey Crowder;USA;Carrollton, Georgia;
2165;Rickie O'Neal Winslow;USA;Houston, Texas;
2166;Federico Ramiro Mor;ESP;Madrid;
2167;Carl Thomas;USA;Dayton, Ohio;
2168;Roberto Bustamante Collado;ESP;Madrid;
2169;José Antonio Figueroa Cerdeirina;ESP;Madrid;
2170;Ferrán Heras Ribot;ESP;Mataró (Barcelona);
2171;David Lee Scott;USA;Jeffersonville, Indiana;
2172;Darrell Lamar Lockhart;USA;Thomaston, Georgia;
2173;Marvin Louis Alexander;USA;Memphis, Tennessee;
2174;Joaquín Costa Prat;ESP;Badalona (Barcelona);
2175;Randy White;USA;Shreveport, Louisiana;
2176;Daniel James O'Sullivan;USA;Bronx, New York;
2177;Roberto José Carvajal Canga;ESP;Gijón (Asturias);1971-12-10
2178;Sergio Cortés Aguilera;ESP;Granada;
2179;Emmanuel James Blackwell;USA;Mount Kisco, New York;
2180;José María Silva Barroso;ESP;Madrid;1972-03-18
2181;Juan Antonio Hernández Cerdán;ESP;Madrid;
2182;Kevin Ross Holland;USA;Long Beach, California;
2183;Darren Troy Morningstar;USA;Stevenson, Washington;
2184;Jeffrey Raynard Sanders;USA;Augusta, Georgia;
2185;Kevin Michael Rankin;USA;West Virginia;1971-08-26
2186;Conner David Henry;USA;Claremont, California;
2187;Cornelius Allen Thompson;USA;Middletown, Connecticut;
2188;José Alberto González Fernández;ESP;León;1972-06-07
2189;Joshua David Grant;USA;Salt Lake City, Utah;
2190;Isaiah Samuel Morris III;USA;Richmond, Virginia;
2191;Alphonso Gene Ford;USA;Greenwood, Mississippi;1971-10-31
2192;Juan Antonio Rosa Ramos;ESP;Málaga;
2193;Pablo Noguero González;ESP;Gijón (Asturias);1971-07-05
2194;Román Carbajo Alonso;ESP;Bilbao (Vizcaya);
2195;Pablo Andrés Giménez Servera;ESP;San Rafael;
2196;David Fernández De Castro;ESP;El Ferrol (La Coruna);1974-05-02
2197;José María Mur Buil;ESP;Barbastro (Huesca);1972-03-02
2198;Rafael Ramón Monclova Suárez;ESP;Sevilla;1973-06-22
2199;Silvano Bustos García;ESP;Durmenshein;
2200;José Luis Supervía Chagoyen;ESP;Zaragoza;1976-08-18
2201;Angel Luis Almeida Sosa;ESP;Las Palmas de Gran Canaria;1972-08-02
2202;Ricky Darnell Brown;USA;Madison County, Mississippi;
2203;James Allen Les;USA;Niles, Illinois;
2204;Josep Perich Sicilia;ESP;Barcelona;1975-01-24
2205;Christopher Gerard Smith;USA;Bridgeport, Connecticut;1970-05-17
2206;Patrick Savoy;USA;Thibodaux, Louisiana;1972-06-23
2207;Jermaine Lajuan Carlton;USA;Winston Salem, North Carolina;1972-02-15
2208;Michael Fritzthadus Jones;USA;Columbus, Georgia;
2209;John Paul Shasky;USA;Birmingham, Michigan;
2210;Joaquín Arcega Aperte;ESP;Zaragoza;
2211;Bradley Donn Sellers;USA;Warrensville Heights, Ohio;
2212;Jorge García García;ESP;Vitoria;1971-12-17
2213;Kenneth Neil Atkinson;ESP;Huntington, New York;
2214;Albert Jay English;USA;Wilmington, Delaware;
2215;Llorenç Mons Genisans;ESP;Mataró (Barcelona);1976-05-13
2216;Pere J-Remón Deu;ESP;Barcelona;1970-02-01
2217;Mitchell Keith Anderson;USA;Chicago, Illinois;
2218;Roberto Torres Sánchez;ESP;Salamanca;1973-02-27
2219;James Randall Allen;USA;Milton, Florida;
2220;Michael Emerette Polite;USA;Patterson, New Jersey;
2221;Carlus Eugene Groves;USA;Portland, Oregon;1971-01-05
2222;Valentí Holgado Tapies;ESP;Manresa (Barcelona);1973-09-15
2223;Gerrod Brian Abram;USA;River Rouge, Michigan;1972-03-20
2224;Michael John Smith;USA;Rochester, New York;
2225;Evers Allen Burns;USA;Baltimore, Maryland;1971-08-24
2226;Javier Zaragoza Casterad;ESP;Huesca;
2227;Gerald James Paddio;USA;Lafayette, Louisiana;
2228;Michael Wilson;BHS;Nassau (Bahamas);1972-10-28
2229;Xavier Ruiz Cabrera;ESP;Terrassa (Barcelona);1970-02-25
2230;Fernando Palacín Arizón;ESP;Huesca;1977-07-28
2231;Sergio Luquero Iriarte;ESP;Vitoria;1973-05-20
2232;Thomas James Adams;USA;Mississippi;
2233;Sergi López Torras;ESP;Badalona (Barcelona);
2234;Michael Ray Giomi;USA;Modesto, California;
2235;Leron Perry Ellis;USA;Los Angeles, California;
2236;Juan Antonio San Epifanio Ruiz;ESP;Zaragoza;
2237;Eric Walfred Anderson;USA;Chicago, Illinois;1970-05-26
2238;Harold Pressley;USA;Bronx, New York;
2239;Francisco Javier Lafuente Torralba;ESP;Madrid;
2240;Torgeir Bryn;NOR;Oslo;
2241;Manuel María Moreno Zaldívar;ESP;San Sebastián;
2242;Pedro Eusebio Rodríguez Santos;ESP;Villanueva Serena (Badajoz);1974-03-04
2243;Jaume Howard Wood Linville;ESP;South Hampton, New York;
2244;Darrell Eugene Armstrong;USA;Gastonia, North Carolina;
2245;Oscar Daniel Bezerra Schmidt;BRA;Río Grande del Sur;
2246;Alexandre Ferreiro Bento;ESP;Rio de Janeiro;1970-05-24
2247;David Butler;USA;Washington, D.C.;
2248;Juan Morales Rizo;ESP;Cornellá (Barcelona);
2249;Fernando Romay Pereiro;ESP;La Coruna;
2250;Reginald D-Smith;USA;San Jose, California;1970-08-21
2251;Michael Edward Curry;USA;Anniston, Alabama;
2252;Tod James Murphy;USA;Long Beach, California;
2253;Jesús Llano Ricote;ESP;Vitoria;
2254;Keith Kensel Owens;USA;San Francisco, California;
2255;Rimas Kurtinaitis;LTU;Kaunas;
2256;Antonio Martín Espina;ESP;Madrid;
2257;Slavko Kotnik;SVN;Maribor (Eslovenia);
2258;Fernando Merchante Alcántara;ESP;Cuenca;
2259;Todd Ernest Mitchell;USA;Toledo, Ohio;
2260;Guillermo Coll Morey;ESP;Palma de Mallorca;
2261;Javier Berrocal Iglesias;ESP;Benavente (Zamora);1973-03-25
2262;Fernando Arcega Aperte;ESP;Zaragoza;
2263;Nebojsa Ilic;YUG;Belgrado (Yugoslavia);
2264;Arturo Jesús Llopis Carbonell;ESP;Silla (Valencia);1971-01-25
2265;Brooks Carter Barnhard;USA;San Diego, California;1970-10-26
2266;Brent Eugene Dabbs;USA;Peekskill, New York;
2267;John Michael Ebeling;ITA;Trenton, New Jersey;
2268;Antonio Zamora Puyuelo;ESP;Huesca;1977-05-13
2269;Antwon Harmon;USA;Chicago, Illinois;
2270;Robert Amat García;ESP;Badalona (Barcelona);
2271;Antonio Roca Daffey;ESP;Las Palmas de Gran Canaria;
2272;Nathaniel James Johnston;USA;Birmingham, Alabama;
2273;Daniel Oliván Bajen;ESP;Huesca;1974-12-04
2274;Stevin Lamarcus Smith;USA;Dallas, Texas;1972-01-23
2275;Joaquín Herencia Rando;ESP;Carmona (Sevilla);1971-08-10
2276;Ronnie Lee Thompkins;USA;Jackson, Michigan;
2277;Andre Devell Spencer;USA;Dumas, Arkansas;
2278;Miquel Nolis Sunol;ESP;Badalona (Barcelona);
2279;Marc Aleu Consegal;ESP;Barcelona;1976-01-21
2280;Jesús María Moreno Alcaniz;ESP;Zaragoza;
2281;Stephen Dean Bardo;USA;Henderson, Kentucky;
2282;Serguei Valerianovich Bazarevich;RUS;Moscú (Rusia);
2283;Antonio Álamo Aroca;ESP;Huelva;1973-02-08
2284;José Carlos Castro Pérez;ESP;Vigo (Pontevedra);1973-02-12
2285;Reginald Johnson;USA;Atlanta, Georgia;
2286;Herbert Michael Brown;USA;New York, New York;
2287;Yamen Sanders;USA;Detroit, Michigan;
2288;Javier Blázquez Castillo;ESP;Madrid;1974-01-16
2289;Herman Henry III;USA;Dallas, Texas;
2290;Michael Walter Peplowski;USA;Detroit, Michigan;1970-10-15
2291;Fernando Mateo Rodríguez;ESP;Madrid;
2292;Kevin Joseph Lynch;USA;Bloomington, Minnesota;
2293;Perfecto García Chilavert;ESP;Villalonga (Valencia);1977-02-28
